symbol,n_obs,observed_mi,null_p95_mi,p_value,significant_05,NORMAL_n,NORMAL_mean,NORMAL_std,HIGH_n,HIGH_mean,HIGH_std,SHOCK_n,SHOCK_mean,SHOCK_std,LOW_n,LOW_mean,LOW_std
GM,1599,0.002707549870767191,0.0030237206291069563,0.08,False,79,0.00037412959010634016,0.017429439424420313,1347.0,0.000513669310902155,0.0235069981941603,173,-0.0002314069583055295,0.03993149767330306,,,
GOOGL,2428,0.008183520460619414,0.002541626237218313,0.0,True,745,0.0006995287032783641,0.013489329159016867,1587.0,0.0008781605639440851,0.10949940326833361,91,0.002124731469100033,0.023821005312430015,5.0,-0.0038238516149522008,0.009347922690852264
GS,2608,0.004594303663962455,0.0016970696897236019,0.0,True,704,-0.00013804429309509242,0.014317900426218616,1800.0,0.0007507937648457583,0.018094667474849956,104,0.0024351050487452486,0.03676044450968603,,,
HAL,1607,0.014420355210829593,0.00297314059957186,0.0,True,93,-0.0009796193093553887,0.01771226053902696,1111.0,-0.0007591502773662702,0.025356702096222112,403,0.0033528108831882646,0.049587778096810704,,,
HD,1595,0.007462055249086042,0.0026685257290392705,0.0,True,613,0.000540087416669164,0.012931766497583848,942.0,-0.00016558734321997634,0.01687332181336651,40,0.0058728075507521234,0.04870893484409392,,,
HOOD,1224,0.006416304702907476,0.003391966697965479,0.005,True,30,0.005563318813103679,0.09548723792430865,393.0,-0.0016117956951691539,0.03540589521855697,801,0.0015301008311259078,0.04696420029602217,,,
INTC,1623,0.007585610085022773,0.0032748763373349745,0.0,True,91,0.0010984130848392694,0.0178574615050141,1182.0,-0.0007253821195426305,0.025900830731954455,350,0.001430506709406651,0.04306619016477419,,,
IONQ,1367,0.0570425131838542,0.004519235764652032,0.0,True,101,0.0013675953376199538,0.013759787596483539,78.0,-0.00606530643410655,0.03987902491642932,1168,0.00109665439050346,0.060898405198750095,20.0,0.006359501827324543,0.02827356028868736
JNJ,1603,0.0034103815297844998,0.0033171641379623586,0.045,True,1350,0.00019342246594935322,0.010387062762642018,224.0,-0.00014744012526209303,0.015536048843164202,29,0.009073328410179306,0.029719727859296042,,,
JPM,2599,0.009424127010629469,0.0019285905109286713,0.0,True,1252,0.00030822229294111703,0.012345345742522133,1271.0,0.0008580065341491003,0.017124578146597704,76,0.0004496245017326577,0.04185887153917068,,,
LCID,1442,0.03892154326686706,0.003373599518703907,0.0,True,80,0.004335233038034614,0.03784318508932759,87.0,0.0001066169474360485,0.05378433492718623,1275,-0.0002497187758147915,0.07964585189604956,,,
LYFT,1555,0.0029723123415376883,0.0027581285021936815,0.04,True,30,0.0030259941694036857,0.0274023289924576,533.0,-0.002244197311760755,0.03854244472696219,992,-5.973947906452681e-05,0.045594153294680057,,,
MARA,1623,0.0020964545972392,0.0032669711620316316,0.185,False,30,0.011699230760803153,0.0622922530555847,26.0,0.0009116309184739815,0.04218350727322494,1567,0.0012586838091004859,0.08069275721706645,,,
META,2328,0.007038432878516753,0.0026737095231594964,0.0,True,329,0.0010271887267460599,0.01865728834809621,1684.0,0.0007771378486641216,0.025142702896973058,310,0.00033958981892118103,0.02853805407113106,5.0,0.0014866798836790096,0.009078256658805848
MRK,1604,0.005558672363033167,0.002627511336280094,0.0,True,773,5.066190823252857e-05,0.013552433159002394,806.0,0.00015920208228171218,0.016462994149455675,25,0.002179280307878919,0.028399635453878573,,,
MRVL,1622,0.004049393985882228,0.0026151622752742703,0.01,True,30,-0.0018612469894944952,0.03051164383068479,782.0,0.0016725294905322711,0.030860111912809032,810,-4.8482230598626926e-05,0.037841563550229204,,,
MSFT,2414,0.01161222941153342,0.0019352308732888891,0.0,True,968,0.0006567384937876294,0.012540132393528332,1366.0,0.0007011144047324514,0.018399051075592844,80,0.004426699757401775,0.029798205114906474,,,
MS,1600,0.01035513014414012,0.003080879983592096,0.0,True,251,0.0003266655838103964,0.0153923594365018,1238.0,0.00040714241911725364,0.019601285357854152,111,0.004929272117152926,0.04099903902655824,,,
MU,1518,0.006026198461733908,0.0031988045188169616,0.005,True,31,0.004175617318627095,0.024866857169133366,933.0,0.0009239566895731953,0.026845748616920424,554,0.0020352733384750867,0.03981508260860857,,,
NET,1607,0.00915222980344358,0.0030371320635220584,0.0,True,30,0.0014740654207814194,0.024949417105501092,522.0,0.002481076492763597,0.03271892695638084,1055,0.0011621821829047897,0.04725814090786204,,,
NFLX,2567,0.0070246704653206885,0.0016645524440294318,0.0,True,137,-0.019664172895864626,0.19458843823514346,1846.0,0.003330508773582223,0.11071585661438081,584,-0.0023447709391382038,0.21562471240285558,,,
NIO,1623,0.011754065375688249,0.002897131030122946,0.0,True,30,-0.00033333195482471525,0.07032344879428341,267.0,0.0025751933750264534,0.0342971524910593,1326,-0.00022354110944356077,0.05077723393157701,,,
NKE,1618,0.005431534530816184,0.0027985858381792466,0.0,True,322,-0.0018185938994378942,0.018689186779365805,1174.0,-0.0003220006965936652,0.020907008953366012,122,0.0026586866865663506,0.03236592401839283,,,
NVDA,2539,0.010532217971009186,0.0017912196133585245,0.0,True,49,-0.07823724147538058,0.5197967870650397,1497.0,0.004838351468684431,0.15439758484114108,993,0.00200059126310484,0.290369769707857,,,
ORCL,1576,0.0029302214014306632,0.0027218095398613903,0.035,True,355,0.0010095041860672467,0.017789034375550544,1012.0,0.0004172727921675355,0.024180501377679752,209,0.001427719435849286,0.02996580289815815,,,
OXY,1623,0.02750576975941338,0.0029629322639501223,0.0,True,224,-3.3714544624827546e-05,0.015354585380457968,853.0,-0.0005775342680650318,0.02464126178652232,546,0.0015947317395485227,0.05353051176199136,,,
PFE,1623,0.006699006340196861,0.0028937135519375478,0.01,True,567,-0.0001490143432777395,0.013546907740578219,1026.0,-0.00047857386729811564,0.018084723975680908,30,0.007372651907651661,0.030177413556827716,,,
PLTR,1434,0.0027544516305933013,0.0036277471721785116,0.115,False,30,0.016939774799780444,0.056047410956110606,456.0,2.2402152720931245e-05,0.03554919598656406,948,0.0023583838233863686,0.04579574271950869,,,
QCOM,1578,0.00924947047111925,0.0028774473288613726,0.0,True,149,0.0013323999899897301,0.017906688841222415,1258.0,2.1914528201950668e-05,0.02361252635526008,171,0.0010168471154696638,0.0326823345007323,,,
QQQ,2422,0.020806722390394987,0.0025230719755970333,0.0,True,1426,0.0005164428796158609,0.010808174038875105,856.0,0.0006590995345653484,0.017960839778777726,71,0.004354173339612451,0.025281444721697435,69.0,0.0008545093978229316,0.007155784530223425
RCL,1598,0.013229246721937756,0.0031178441263789236,0.0,True,30,-0.005843033351508916,0.023321965411109813,1051.0,0.0009215004014523853,0.026069761265162503,517,-0.00017047590106775753,0.05806233653454054,,,
RGTI,1269,0.11996262145766509,0.005082494696297762,0.0,True,49,0.0012789001434970499,0.009993179908357727,54.0,-0.001391807968067009,0.028695939631223293,1076,0.0005449771678623589,0.08378252201475293,90.0,-0.001424251370632263,0.018288488273399513
RIOT,1622,6.062301464790712e-05,0.002028204586484746,0.98,False,30,0.010000708752967807,0.06911352531602889,,,,1592,0.001362249311845664,0.0724144999591183,,,
RIVN,1151,0.0017849889206219063,0.004696415168986222,0.455,False,30,-0.003323869934604969,0.08224510586216793,200.0,0.001646837939620427,0.03547009926334236,921,-0.0022942777925293385,0.049169284296983994,,,
SLB,1614,0.014919288704519869,0.0027494267132872757,0.0,True,103,-0.0038651667503744025,0.01521890916139168,1182.0,-0.00011015453397799984,0.025483549202651057,329,0.0021334097290448707,0.041964189105675224,,,
SMR,1374,0.14103161727815164,0.004391313281682649,0.0,True,64,0.003379917740040289,0.013347264883351428,279.0,-0.0010638887967536835,0.0278698089861731,881,0.0003551388459773434,0.06755566483077427,150.0,-0.00029311258383229343,0.006551847454946922
SNOW,1444,0.008616575859325834,0.0033723566897410216,0.0,True,30,0.0032549587945004473,0.05520609072339154,694.0,-0.0003089539516731316,0.030361351754345643,720,-0.0003215992722984093,0.041020261133462375,,,
SOFI,1390,0.003179225459876013,0.0035895063424244626,0.08,False,30,0.02011783406234195,0.0906327212101738,277.0,0.0024996918937559556,0.03743915317230761,1083,-0.0007436073499466179,0.04372909816229643,,,
SOUN,1032,0.010337605563891628,0.004432892611171334,0.0,True,30,-0.025392522898301375,0.19878307281906102,55.0,0.004015118168540166,0.049135636332973666,947,0.00044393225606592944,0.07757234894848775,,,
SPY,2297,0.020658710349613703,0.002620476110898815,0.0,True,1630,0.00052572454224496,0.009130286543849161,414.0,0.0005960561238470418,0.017180741058499583,43,0.002345585367489943,0.031009808587757225,210.0,-0.00013864937064518725,0.006727597393302431
TGT,1609,0.0013255070299817706,0.0034618280928140916,0.365,False,298,-1.8659592957720498e-06,0.015450784078568706,1156.0,-0.000180923837623084,0.023431789610926058,155,0.0007488370272980316,0.026651940422355715,,,
TSLA,2562,0.006909073237772605,0.001804386136621795,0.0,True,37,-0.07711561999083485,0.41296244326059983,1109.0,0.002290899387392429,0.0930838941687128,1416,0.0024625881399566035,0.1989834434797382,,,
UAL,1621,0.006738872701172221,0.0030567473157600083,0.0,True,32,-0.005184479507327672,0.02389378553538137,1067.0,0.0003890639054863693,0.027452741090818595,522,-0.0003822935151561569,0.05417146343945318,,,
UBER,1650,0.0022944178457038646,0.0027315884070143967,0.14,False,32,0.0014994194718987164,0.035586883084783895,1143.0,0.0003603616308324291,0.026928701088622747,475,0.0002977914925397921,0.04184990563305079,,,
UNH,1596,0.0031170003760031123,0.0029848333871837648,0.05,False,424,0.0003430960022580143,0.014119485799160204,1025.0,5.489225508909374e-05,0.019826736041616312,147,-0.001645648467435757,0.03802571070145607,,,
VXX,1472,0.007958011974277566,0.0027024311483205706,0.0,True,30,-0.00291447664632248,0.04166574184978596,516.0,0.00883768576812225,0.11285536121841748,926,-0.003967428566520101,0.05021896862141656,,,
WMT,1620,0.0028592427784588648,0.0029572271036412325,0.06,False,974,-0.0004887099340820456,0.03697606785895642,572.0,0.0005002914570463352,0.01639117683763735,74,0.0028499856126568465,0.02054343689737448,,,
XOM,2619,0.01956964766544412,0.002235103040460854,0.0,True,1161,-8.244042025426265e-06,0.011269840160913928,1310.0,0.0003620316563727566,0.0194842646722901,127,0.0019748296346544865,0.033503222851081566,21.0,-0.00016804710611055605,0.006871561236468854
