symbol,days,B_LOW,B_NORMAL,B_HIGH,B_SHOCK,B_HIGH_OR_SHOCK,A_LOW,A_HIGH_OR_SHOCK
META,2209,31.779085559076503,62.83386147578089,5.3870529651425985,0.0,5.3870529651425985,0.21468441391155002,85.65908115070846
MRK,1485,21.346801346801346,74.94949494949495,3.7037037037037033,0.0,3.7037037037037033,0.0,51.8380062305296
MRVL,1503,23.28675981370592,71.72322022621424,4.990019960079841,0.0,4.990019960079841,0.0,98.15157116451016
MS,1481,25.523295070898044,71.10060769750169,3.37609723160027,0.0,3.37609723160027,0.0,84.32229856339788
MSFT,2295,24.095860566448803,70.89324618736383,5.010893246187364,0.0,5.010893246187364,0.0,59.87577639751552
MU,1399,17.441029306647604,79.3423874195854,3.216583273766976,0.0,3.216583273766976,0.0,97.95918367346938
NET,1488,23.118279569892472,71.7741935483871,5.10752688172043,0.0,5.10752688172043,0.0,98.13432835820896
NFLX,2448,45.38398692810458,48.529411764705884,5.841503267973856,0.24509803921568626,6.086601307189542,0.0,94.66510903426791
NIO,1504,22.074468085106382,74.93351063829788,2.992021276595745,0.0,2.992021276595745,0.0,98.15270935960592
NKE,1499,30.887258172114745,63.90927284856571,5.203468979319546,0.0,5.203468979319546,0.0,80.11117974058061
NVDA,2420,47.14876033057851,47.64462809917355,5.041322314049586,0.1652892561983471,5.206611570247934,0.0,98.07086614173228
ORCL,1457,31.365820178448867,61.839396019217574,6.794783802333562,0.0,6.794783802333562,0.0,77.48890298034242
OXY,1504,23.60372340425532,74.20212765957447,2.1941489361702127,0.0,2.1941489361702127,0.0,86.20689655172413
PFE,1504,24.66755319148936,71.01063829787235,4.321808510638299,0.0,4.321808510638299,0.0,65.02463054187191
PLTR,1315,28.59315589353612,66.08365019011407,5.323193916349809,0.0,5.323193916349809,0.0,97.90940766550523
QCOM,1459,26.319396847155584,69.29403701165182,4.386566141192598,0.0,4.386566141192598,0.0,90.56364787840405
QQQ,2303,29.743812418584454,65.3061224489796,4.950065132435953,0.0,4.950065132435953,2.8477094510936856,38.25835740817169
RCL,1479,28.532792427315755,66.73427991886409,4.732927653820148,0.0,4.732927653820148,0.0,98.12382739212008
RGTI,1150,29.217391304347828,61.73913043478261,9.043478260869566,0.0,9.043478260869566,7.086614173228346,89.05511811023622
RIOT,1503,18.829008649367932,78.44311377245509,2.7278775781769795,0.0,2.7278775781769795,0.0,98.15157116451016
RIVN,1032,26.937984496124027,69.0891472868217,3.9728682170542635,0.0,3.9728682170542635,0.0,97.39583333333334
SLB,1495,21.070234113712374,76.58862876254182,2.341137123745819,0.0,2.341137123745819,0.0,93.62229102167183
SMR,1255,25.89641434262948,65.81673306772909,8.286852589641434,0.0,8.286852589641434,10.909090909090908,84.43636363636364
SNOW,1325,27.39622641509434,68.22641509433961,4.377358490566038,0.0,4.377358490566038,0.0,97.92387543252595
SOFI,1271,19.98426435877262,76.16050354051927,3.8552321007081036,0.0,3.8552321007081036,0.0,97.84327821711
SOUN,913,38.11610076670318,56.955093099671416,4.928806133625411,0.0,4.928806133625411,0.0,97.09583736689254
SPY,2178,33.83838383838384,60.835629017447204,5.325987144168963,0.0,5.325987144168963,9.138381201044385,19.88685813751088
TGT,1490,34.16107382550336,60.872483221476514,4.966442953020135,0.0,4.966442953020135,0.0,81.49068322981367
TSLA,2443,35.24355300859599,60.458452722063036,4.175194433074089,0.12279983626688497,4.297994269340974,0.0,98.55637924307452
UAL,1502,30.02663115845539,65.64580559254327,4.327563249001331,0.0,4.327563249001331,0.0,98.02712700369914
UBER,1531,28.608752449379494,66.88438928804703,4.506858262573481,0.0,4.506858262573481,0.0,98.0617807389461
UNH,1477,28.774542992552472,66.07989167230873,5.145565335138795,0.0,5.145565335138795,0.0,73.45021916092674
VXX,1353,60.60606060606061,35.92017738359202,3.2520325203252036,0.22172949002217296,3.473762010347376,0.0,97.9633401221996
WMT,1501,44.17055296469021,51.89873417721519,3.79746835443038,0.13324450366422386,3.930712858094604,0.0,39.913633559531156
XOM,2500,16.6,79.47999999999999,3.92,0.0,3.92,0.8015267175572519,54.88549618320611
